Farm,plot_no,plot_area,crop_no,crop_name
174,2,3.0,1,tomatoes
174,3,1.0,1,tomatoes
175,1,2.0,1,maize
175,2,1.0,1,tomatoes
175,2,1.0,2,vegetable
189,1,7.0,1,maize
189,2,3.0,1,piri_piri
189,3,3.0,1,baby_corn
191,1,1.0,1,tomatoes
191,2,5.0,1,maize
192,1,0.5,1,tomatoes
192,2,0.5,1,maize
192,3,0.5,1,baby_corn
126,1,4.5,1,maize
126,1,4.5,2,beans
126,1,4.5,3,peanut
126,2,1.0,1,tomatoes
193,1,3.0,1,maize
193,2,2.5,1,tomatoes
193,3,0.5,1,cabbage
193,4,1.5,1,maize
194,1,5.0,1,maize
194,2,0.5,1,tomatoes
199,1,5.0,1,maize
199,2,1.0,1,vegetable
200,1,0.5,1,maize
200,2,4.5,1,maize
